VAR1,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,metro_dist_group
798,669.74433483,Entire home/apt,False,False,4,False,0,0,10,96,3,1.4124607028,0.9831304711,415.15292411,21.982623181,541.32807465,37.720519062,4.878,52.36453,Very Close
799,622.8762918,Entire home/apt,False,False,4,False,0,0,9,97,2,2.0998153753,0.3243962312,337.90175238,17.892122308,402.67537473,28.058999449,4.89514,52.3544,Very Close
800,454.85435756,Private room,False,True,2,True,1,0,10,98,1,2.3834566944,1.4036925498,195.46898896,10.350212845,231.58064351,16.13687242,4.92645,52.36673,Close
801,258.24291707,Private room,False,True,2,False,0,0,8,97,1,6.9262012965,2.4972836069,68.039280819,3.6027251282,84.360914783,5.8783899139,4.79812,52.35099,Kinda Far
802,639.9831275,Entire home/apt,False,False,4,False,0,1,10,100,2,4.2205562081,0.3120222482,101.455154,5.3721178167,135.15862711,9.4180475923,4.83529,52.38693,Very Close
803,297.61207321,Entire home/apt,False,False,2,False,0,1,10,100,1,4.298145494,0.4121115058,99.963868895,5.2931532793,128.60154651,8.9611407824,4.83382,52.38652,Very Close
804,309.56342418,Private room,False,True,4,False,1,0,10,100,2,3.345235816,2.2758493294,114.88631094,6.0833065007,148.65386777,10.358415378,4.89496,52.40328,Kinda Far
805,307.22002203,Private room,False,True,2,True,1,0,9,97,0,4.3026758707,2.6279050709,90.772276964,4.8064523791,114.22560493,7.9594044902,4.89735,52.41182,Kinda Far
806,281.44259836,Private room,False,True,2,False,1,0,10,90,1,4.7473944053,1.972626624,85.315791598,4.5175278535,105.66724322,7.3630455334,4.95606,52.39158,Close
807,339.09029128,Private room,False,True,2,True,0,0,10,100,1,1.537847228,1.4641310629,303.71585084,16.081956107,400.13083934,27.881692562,4.87151,52.36918,Close
808,279.09919621,Private room,False,True,2,False,1,0,9,90,1,4.6055971878,1.8863276006,87.74321099,4.6460613231,108.67261547,7.5724641956,4.95404,52.39121,Close
809,245.58854545,Private room,False,True,2,False,1,0,9,85,1,4.9325506802,0.9991410191,92.958584071,4.9222187932,115.52528155,8.0499678268,4.82073,52.37133,Very Close
810,921.66006608,Entire home/apt,False,False,4,True,1,0,10,100,2,1.3089707963,0.3424234829,481.96003141,25.520103903,508.24983016,35.415579395,4.89598,52.3616,Very Close
811,458.36946078,Entire home/apt,False,False,4,False,0,0,8,87,2,4.7329199054,1.4714543073,84.926919112,4.4969367969,105.14113344,7.3263854472,4.95179,52.39604,Close
812,313.31286762,Private room,False,True,2,False,1,0,9,80,1,1.33860226,1.2924278905,328.17289676,17.376972939,434.65661086,30.287497994,4.8738,52.37095,Close
813,315.89060999,Private room,False,True,2,False,1,0,9,97,1,1.327956703,1.2540888758,337.8636738,17.890106022,439.79557885,30.645588678,4.87453,52.36959,Close
814,699.03686172,Private room,False,True,3,False,0,1,10,95,1,1.0505505188,0.5587609221,352.62965258,18.67197441,421.32583654,29.35859046,4.90847,52.37406,Very Close
815,397.20666464,Entire home/apt,False,False,2,False,0,0,10,100,1,2.4283706566,1.7472691352,172.74868129,9.1471574579,211.42365031,14.732304133,4.92851,52.37064,Close
816,504.06580273,Private room,False,True,4,False,0,0,10,91,1,1.4239241142,0.1089403915,582.52144529,30.844897586,547.19661217,38.129447199,4.88955,52.36062,Very Close
817,653.57485998,Entire home/apt,False,False,2,False,0,1,10,100,1,0.89466497,0.3842044611,381.10512178,20.179769425,469.96770331,32.748025719,4.90624,52.37321,Very Close
818,258.24291707,Private room,False,True,2,False,1,0,9,84,1,7.5403300836,3.1044409033,62.05670404,3.2859437127,76.687952443,5.3437268588,4.78922,52.3498,Far
819,398.1440255,Private room,False,True,2,False,1,0,10,89,1,2.6127669849,0.3083530166,193.99327556,10.27207284,252.96144502,17.62671743,4.91115,52.35251,Very Close
820,798.63145314,Entire home/apt,False,False,4,True,0,0,10,97,1,0.7053916541,0.4546837615,496.19182348,26.273686749,813.31719042,56.673111965,4.895,52.367,Very Close
821,304.87661988,Private room,False,True,4,False,0,1,9,94,1,2.8631342079,1.6891278601,152.4518255,8.0724254573,196.90734276,13.720786938,4.93225,52.36385,Close
822,449.46453261,Private room,False,True,4,False,0,1,10,96,1,2.2926956909,0.558934069,267.14213634,14.145353623,331.86715739,23.124980991,4.89868,52.35291,Very Close
823,303.00189816,Private room,False,True,2,False,0,1,4,80,1,2.1238922663,0.4153789596,313.75688526,16.613635551,378.6842334,26.387262204,4.89656,52.35426,Very Close
824,292.45658848,Private room,False,True,2,True,0,0,10,100,1,0.8808097653,0.5142711563,486.67265609,25.769640511,734.68893037,51.194181681,4.89073,52.36545,Very Close
825,306.04832095,Entire home/apt,False,False,2,False,0,0,9,95,1,3.6601617143,0.5696716652,139.57697375,7.3906935024,177.55182201,12.372066405,4.91232,52.34251,Very Close
826,403.06517001,Private room,False,True,2,True,1,0,10,99,1,1.0004624407,1.0339078177,478.12532564,25.317053684,478.27553288,33.326927236,4.87851,52.37429,Close
